query_product,query_leaf_category,precision@5,recall,average_precision
Jaipan KD2.5 Kadhai 2.5 L,woks kadhais,1.0,0.06944444444444445,1.0
Oye Top With Skirts Girl's  Combo,combo sets,1.0,0.21739130434782608,1.0
Aaradhi Stone Necklace,necklaces,1.0,0.003961965134706815,1.0
Kozdiko Premium Quality Centre Console Black Color RMA8 Car Armrest,premium quality centre console black col,1.0,0.006082725060827251,1.0
Fashion Pitaraa Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
Engross Metal Necklace,necklaces,1.0,0.003961965134706815,1.0
Elite Collection Medium Acrylic Sticker,stickers,1.0,0.03164556962025317,1.0
Oshea Herbals UVSHIELD - Sunscreen Gel - SPF 20 PA+,sunscreen,1.0,0.18518518518518517,1.0
Opiumstreet Printed Men's Round Neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
"Retaaz Casual, Party, Festive Sleeveless Floral Print Women's Top",tops,1.0,0.015015015015015015,1.0
Sonata 7097SM01 Analog Watch  - For Men,wrist watches,1.0,0.013123359580052493,1.0
BGS Alloy Crystal Bracelet,bracelets,1.0,0.02577319587628866,1.0
GetAbhi Printed Tie,ties,1.0,0.09803921568627451,1.0
Allure Auto CM 921 Car Mat Maruti Alto,car mats,1.0,0.01160092807424594,1.0
Monil Round Kundan Studded Analog 5.08 cm Showpiece  -  30.48 cm,ethnic,1.0,0.038461538461538464,1.0
Enwraps Utility Pouch Army Miniature Bag Abstract Art Cloth Pencil Box,pencil boxes,1.0,0.08064516129032258,1.0
Rockmantra Freeg Ceramic Mug,coffee mugs,1.0,0.02512562814070352,1.0
E-plant Black Eyed Peas Culinary Vegetable Seed,seeds,1.0,0.07352941176470588,1.0
Petshop7 PS7BED000414 M Pet Bed,furniture,1.0,0.08771929824561403,1.0
Eva De Moda Women's Graphic Print Casual Shirt,shirts,1.0,0.004105090311986864,1.0
Shagun Trends Pouch Potli,pouches potlis,1.0,0.45454545454545453,1.0
Silkbazar Cotton Polyester Blend Printed Salwar Suit Dupatta Material,dress materials,1.0,0.7142857142857143,1.0
dongli Striped Baby Boy's Polo Neck T-Shirt,striped baby boy polo neck shirt pac,1.0,0.012953367875647668,1.0
GALLOWAY skinny Fit Women's Jeans,skinny fit women jeans,0.2,1.0,1.0
SF by Sonata 7957PP06 Watch,wrist watches,1.0,0.013123359580052493,1.0
Hotpiper Classic Yellow Gold Plated Acrylic Necklace,necklaces,1.0,0.003961965134706815,1.0
Jazzup Women's Striped Casual Shirt,shirts,1.0,0.004105090311986864,1.0
Madhavs Geometric Cushions Cover,living,1.0,0.3333333333333333,1.0
Invogue Art Rose Gold Plated Nickel Necklace,necklaces,1.0,0.003961965134706815,1.0
Syma X5 Quadcopter,remote control toys,1.0,0.45454545454545453,1.0
Raju Purse Collection Shoulder Bag,shoulder bag beige,1.0,0.024390243902439025,1.0
Junk Glass Necklace,necklaces,1.0,0.003961965134706815,1.0
AdroitZ Exclusive Barbie Doll Sunshade / curtain (set of 2) for Tata Indigo V2 Small Sun Shade For Tata Indigo,exclusive barbie doll sunshade curtain,1.0,0.17857142857142858,1.0
Gossip Loafers,loafers,1.0,0.053763440860215055,1.0
Park Avenue Regular Fit Men's Brown Trousers,trousers,1.0,0.078125,1.0
Sukkhi Brass Yellow Gold Bangle Set,bangles,1.0,0.016233766233766232,1.0
Prithish Listen To Your Heart Double Color Ceramic Mug,coffee mugs,1.0,0.02512562814070352,1.0
ACCESSOREEZ CRTRTBL052 Cup Holder Car Tray Table,crtrtbl052 cup holder car tray table,1.0,0.006082725060827251,1.0
